"","Mittelwert","CI (unten)","CI (oben)","Name","Fraktion","Kommission"
"1757",-0.110313008877487,-0.713258779626395,0.453754410232817,"Quadranti Rosmarie","BD","WAK"
"1758",0.0324079043540113,-0.730748655819934,0.786624267927003,"Schmidt Roberto","C","WAK"
"1759",0.0513891690812827,-0.595398819334171,0.692056885994413,"de Buman Dominique","C","WAK"
"1760",0.0851766664297351,-0.511933719363126,0.65915081401057,"M\""uller-Altermatt Stefan","C","WAK"
"1761",0.155539387921252,-0.436615254283135,0.752888689357004,"Vogler Karl","C","WAK"
"1762",0.2402893208902,-0.330216277226373,0.786544867083562,"Lohr Christian","C","WAK"
"1763",0.244665363174104,-0.299775354674356,0.788897368854979,"Barazzone Guillaume","C","WAK"
"1764",0.248085691048415,-0.355698831969425,0.845855256223622,"Buttet Yannick","C","WAK"
"1765",0.248988281851547,-0.317920827310148,0.793186923006479,"Gschwind Jean-Paul","C","WAK"
"1766",0.256163893095657,-0.599288190726755,1.05418228952892,"Egger Thomas","C","WAK"
"1767",0.270692751038473,-0.32965082900461,0.868062612339228,"Landolt Martin","BD","WAK"
"1768",0.274019871895186,-0.329661617781161,0.854657423502731,"B\'egl\'e Claude","C","WAK"
"1769",0.299777644960553,-0.255483453601725,0.853781925225386,"Marchand-Balet G\'eraldine","C","WAK"
"1770",0.306203224766223,-0.285250589437641,0.883512310353405,"Candinas Martin","C","WAK"
"1771",0.313804465857084,-0.252692189422271,0.869394913130483,"Ammann Thomas","C","WAK"
"1772",0.347053990707522,-0.228728325277929,0.899237626430534,"Gm\""ur-Sch\""onenberger Andrea","C","WAK"
"1773",0.373415578334974,-0.220737356180832,0.953033332705072,"Bulliard-Marbach Christine","C","WAK"
"1774",0.379935135442549,-0.197546525980375,0.944697086571621,"Amherd Viola","C","WAK"
"1775",0.415270855659768,-0.153595806574572,0.977318077611246,"Guhl Bernhard","BD","WAK"
"1776",0.415290511975147,-0.150497045681529,0.980166775696732,"Campell Duri","BD","WAK"
"1777",0.497791673981325,-0.0434106153159171,1.03802977623179,"Humbel Ruth","C","WAK"
"1778",0.505000089226217,-2.38306158676188,3.12408377799657,"Cattaneo Rocco","RL","WAK"
"1779",0.544977516173336,-0.0292689184331092,1.10209408183862,"Hess Lorenz","BD","WAK"
"1780",0.591367799850007,-2.38774957018401,3.42903397638694,"Brunner Hansj\""org","RL","WAK"
"1781",0.621373317230924,0.0686434095404707,1.16905212810946,"Ritter Markus","C","WAK"
"1782",0.629998801298136,0.0558840001927265,1.20018700664186,"Schneider-Schneiter Elisabeth","C","WAK"
"1783",0.67413835132928,0.136938288868489,1.19887764513182,"Romano Marco","C","WAK"
"1784",0.715608793243842,0.16189352297291,1.25409371765808,"B\""uchler Jakob","C","WAK"
"1785",0.763664091289492,0.225895222288703,1.27841164828653,"Gm\""ur Alois","C","WAK"
"1786",0.802929685831923,-0.00900256191594195,1.57327576901954,"Gasche Urs","BD","WAK"
"1787",0.80560691240867,0.268247262539434,1.35929197798142,"M\""uller Leo","C","WAK"
"1788",0.827418559197801,0.287417411316945,1.35874111174993,"Glanzmann-Hunkeler Ida","C","WAK"
"1789",0.848791686166868,0.162520284727107,1.49535708165924,"Markwalder Christa","RL","WAK"
"1790",0.904007036127,0.350954599590912,1.44116832152986,"Genecand Beno\^it","RL","WAK"
"1791",1.0653719775496,0.483200490390297,1.61655300036943,"Pfister Gerhard","C","WAK"
"1792",1.12410109895091,0.561859632130691,1.66131031142777,"F\""assler Daniel","C","WAK"
"1793",1.14716244958479,0.516434210851674,1.75867060123429,"Moret Isabelle","RL","WAK"
"1794",1.26702121876978,0.725818171187806,1.78976293993474,"Walti Beat","RL","WAK"
"1795",1.27392696013313,0.758814751687916,1.7778832662606,"Regazzi Fabio","C","WAK"
"1796",1.33186653505933,0.809751153831506,1.84541067656206,"Bourgeois Jacques","RL","WAK"
"1797",1.3546453596685,0.799631129937554,1.8992426035814,"Merlini Giovanni","RL","WAK"
"1798",1.36421949013393,0.833773375922851,1.89604362937494,"Hiltpold Hugues","RL","WAK"
"1799",1.37375274452549,0.86339907927524,1.88494072508726,"Derder Fathi","RL","WAK"
"1800",1.45409690961287,0.923211611775193,1.975955919587,"Schilliger Peter","RL","WAK"
"1801",1.48398128001859,0.966980872454098,1.98199682458232,"Jauslin Matthias Samuel","RL","WAK"
"1802",1.49758611608627,0.981139316116002,1.98982478469307,"Wehrli Laurent","RL","WAK"
"1803",1.51920859969697,1.00703639502581,2.0158198299959,"Eichenberger-Walther Corina","RL","WAK"
"1804",1.53764939911114,1.01261063169785,2.04009733963652,"L\""uscher Christian","RL","WAK"
